Image,hemostasis,inflammatory,proliferative,maturation
Day 8_A8-4-L.png,0.18181818181818200,0.09090909090909090,0.5454545454545450,0.18181818181818200
Day 4_A8-3-R.png,0.09090909090909090,0.9090909090909090,0.0,0.0
Day 14_Y8-4-L.png,0.0,0.0,0.09090909090909090,0.9090909090909090
Day 7_Y8-4-L.png,0.0,0.0,0.45454545454545500,0.5454545454545450
Day 2_A8-1-L.png,0.18181818181818200,0.7272727272727270,0.09090909090909090,0.0
Day 11_A8-1-L.png,0.0,0.0,0.6363636363636360,0.36363636363636400
Day 9_A8-1-R.png,0.09090909090909090,0.45454545454545500,0.45454545454545500,0.0
Day 14_A8-5-L.png,0.0,0.09090909090909090,0.49,0.51
Day 0_Y8-3-L.png,0.7272727272727270,0.2727272727272730,0.0,0.0
Day 7_A8-5-L.png,0.0,0.0,0.9090909090909090,0.09090909090909090
Day 13_Y8-3-L.png,0.0,0.0,0.0,1.0
Day 15_Y8-1-R.png,0.0,0.0,0.09090909090909090,0.9090909090909090
Day 6_Y8-1-R.png,0.0,0.51,0.49,0.0
Day 3_A8-4-R.png,0.9090909090909090,0.09090909090909090,0.0,0.0
Day 4_Y8-2-R.png,0.18181818181818200,0.5454545454545450,0.2727272727272730,0.0
Day 10_A8-4-R.png,0.0,0.09090909090909090,0.7272727272727270,0.18181818181818200
Day 6_Y8-3-R.png,0.09090909090909090,0.18181818181818200,0.7272727272727270,0.0
Day 12_A8-5-R.png,0.09090909090909090,0.0,0.0,0.9090909090909090
Day 15_Y8-3-R.png,0.0,0.0,0.0,1.0
Day 1_A8-5-R.png,0.5454545454545450,0.45454545454545500,0.0,0.0
Day 13_Y8-1-L.png,0.0,0.0,0.18181818181818200,0.8181818181818180
Day 0_Y8-1-L.png,0.7272727272727270,0.2727272727272730,0.0,0.0
Day 9_A8-3-R.png,0.0,0.09090909090909090,0.9090909090909090,0.0
Day 5_A8-4-L.png,0.0,0.59,0.41,0.0
Day 11_Y8-2-L.png,0.0,0.0,0.45454545454545500,0.5454545454545450
Day 2_Y8-2-L.png,0.7272727272727270,0.2727272727272730,0.0,0.0
Day 11_A8-3-L.png,0.09090909090909090,0.09090909090909090,0.8181818181818180,0.0
Day 2_A8-3-L.png,0.5454545454545450,0.45454545454545500,0.0,0.0
Day 12_Y8-4-R.png,0.0,0.0,0.0,1.0
Day 1_Y8-4-R.png,0.18181818181818200,0.2727272727272730,0.5454545454545450,0.0
Day 4_A8-1-R.png,0.36363636363636400,0.6363636363636360,0.0,0.0
Day 5_Y8-1-L.png,0.36363636363636400,0.5454545454545450,0.09090909090909090,0.0
Day 13_A8-4-L.png,0.0,0.0,0.2727272727272730,0.7272727272727270
Day 7_Y8-2-L.png,0.09090909090909090,0.5454545454545450,0.36363636363636400,0.0
Day 0_A8-4-L.png,1.0,0.0,0.0,0.0
Day 14_Y8-2-L.png,0.0,0.0,0.09090909090909090,0.9090909090909090
Day 10_Y8-3-R.png,0.0,0.0,0.09090909090909090,0.9090909090909090
Day 4_A8-5-R.png,0.0,0.36363636363636400,0.6363636363636360,0.0
Day 3_Y8-3-R.png,0.6363636363636360,0.2727272727272730,0.09090909090909090,0.0
Day 4_Y8-4-R.png,0.09090909090909090,0.36363636363636400,0.5454545454545450,0.0
Day 8_Y8-3-L.png,0.0,0.1,0.6,0.3
Day 12_A8-1-R.png,0.0,0.2,0.5,0.3
Day 1_A8-1-R.png,0.1,0.8,0.1,0.0
Day 7_A8-3-L.png,0.1,0.1,0.8,0.0
Day 14_A8-3-L.png,0.0,0.0,0.6,0.4
Day 2_Y8-4-L.png,0.8,0.2,0.0,0.0
Day 11_Y8-4-L.png,0.0,0.0,0.0,1.0
Day 14_A8-1-L.png,0.0,0.0,0.6666666666666670,0.3333333333333330
Day 7_A8-1-L.png,0.3,0.2,0.5,0.0
Day 9_A8-5-R.png,0.0,0.0,0.4,0.6
Day 1_A8-3-R.png,0.8,0.2,0.0,0.0
Day 12_A8-3-R.png,0.1,0.2,0.5,0.2
Day 8_Y8-1-L.png,0.0,0.1,0.9,0.0
Day 3_Y8-1-R.png,0.4,0.6,0.0,0.0
Day 10_Y8-1-R.png,0.0,0.1,0.3,0.6
Day 1_Y8-2-R.png,0.8,0.2,0.0,0.0
Day 15_A8-4-R.png,0.0,0.0,0.1,0.9
Day 12_Y8-2-R.png,0.0,0.0,0.0,1.0
Day 6_A8-4-R.png,0.5,0.4,0.1,0.0
Day 2_A8-5-L.png,0.9,0.1,0.0,0.0
Day 11_A8-5-L.png,0.0,0.0,0.6,0.4
Day 5_Y8-3-L.png,0.2,0.4,0.4,0.0
Day 9_Y8-4-R.png,0.0,0.0,0.6,0.4
Day 5_A8-5-L.png,0.1,0.5,0.4,0.0
Day 11_Y8-3-L.png,0.0,0.0,0.2,0.8
Day 2_Y8-3-L.png,0.7,0.3,0.0,0.0
Day 4_Y8-1-R.png,0.2,0.7,0.1,0.0
Day 6_Y8-2-R.png,0.0,0.1,0.7,0.2
Day 12_A8-4-R.png,0.0,0.0,0.6,0.4
Day 15_Y8-2-R.png,0.0,0.0,0.0,1.0
Day 1_A8-4-R.png,0.8,0.2,0.0,0.0
Day 6_A8-3-R.png,0.1,0.8,0.1,0.0
Day 15_A8-3-R.png,0.0,0.0,0.6,0.4
Day 5_Y8-4-L.png,0.3,0.5,0.2,0.0
Day 9_Y8-3-R.png,0.0,0.0,0.6,0.4
